-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 11/01/2014 through 07/01/2015 ,,,,,
Location: Latitude  18.6126   Longitude -46.2224 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 0.0 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,KT
18.61261,-46.22239,2015,3,9,0.47
18.61261,-46.22239,2015,3,10,0.51
18.61261,-46.22239,2015,3,11,0.66
18.61261,-46.22239,2015,3,12,0.68
18.61261,-46.22239,2015,3,13,0.7
18.61261,-46.22239,2015,3,14,0.65
18.61261,-46.22239,2015,3,15,0.67
18.61261,-46.22239,2015,3,16,0.63
18.61261,-46.22239,2015,3,17,0.58
18.61261,-46.22239,2015,3,18,0.58
18.61261,-46.22239,2015,3,19,0.7
18.61261,-46.22239,2015,3,20,0.69
18.61261,-46.22239,2015,3,21,0.72
18.61261,-46.22239,2015,3,22,0.69
18.61261,-46.22239,2015,3,23,0.69
18.61261,-46.22239,2015,3,24,0.7
18.61261,-46.22239,2015,3,25,-999
18.61261,-46.22239,2015,3,26,0.69
18.61261,-46.22239,2015,3,27,0.66
18.61261,-46.22239,2015,3,28,0.69
18.61261,-46.22239,2015,3,29,0.75
18.61261,-46.22239,2015,3,30,0.72
18.61261,-46.22239,2015,3,31,0.7
18.61261,-46.22239,2015,4,1,0.62
18.61261,-46.22239,2015,4,2,0.67
18.61261,-46.22239,2015,4,3,0.66
18.61261,-46.22239,2015,4,4,0.69
18.61261,-46.22239,2015,4,5,0.64
18.61261,-46.22239,2015,4,6,0.67
18.61261,-46.22239,2015,4,7,0.73
18.61261,-46.22239,2015,4,8,0.68
18.61261,-46.22239,2015,4,9,0.73
18.61261,-46.22239,2015,4,10,0.61
18.61261,-46.22239,2015,4,11,0.7
18.61261,-46.22239,2015,4,12,0.58
18.61261,-46.22239,2015,4,13,0.68
18.61261,-46.22239,2015,4,14,0.57
18.61261,-46.22239,2015,4,15,0.61
18.61261,-46.22239,2015,4,16,0.66
18.61261,-46.22239,2015,4,17,0.6
18.61261,-46.22239,2015,4,18,0.66
18.61261,-46.22239,2015,4,19,0.69
18.61261,-46.22239,2015,4,20,0.74
18.61261,-46.22239,2015,4,21,0.65
18.61261,-46.22239,2015,4,22,-999
18.61261,-46.22239,2015,4,23,0.68
18.61261,-46.22239,2015,4,24,0.7
18.61261,-46.22239,2015,4,25,0.65
18.61261,-46.22239,2015,4,26,0.72
18.61261,-46.22239,2015,4,27,0.7
18.61261,-46.22239,2015,4,28,0.66
18.61261,-46.22239,2015,4,29,0.66
18.61261,-46.22239,2015,4,30,0.68
18.61261,-46.22239,2015,5,1,0.69
18.61261,-46.22239,2015,5,2,0.67
18.61261,-46.22239,2015,5,3,0.68
18.61261,-46.22239,2015,5,4,0.74
18.61261,-46.22239,2015,5,5,0.65
18.61261,-46.22239,2015,5,6,0.69
18.61261,-46.22239,2015,5,7,0.73
18.61261,-46.22239,2015,5,8,0.53
18.61261,-46.22239,2015,5,9,0.7
18.61261,-46.22239,2015,5,10,0.68
18.61261,-46.22239,2015,5,11,0.68
18.61261,-46.22239,2015,5,12,0.62
18.61261,-46.22239,2015,5,13,0.64
18.61261,-46.22239,2015,5,14,0.68
18.61261,-46.22239,2015,5,15,0.61
18.61261,-46.22239,2015,5,16,0.7
18.61261,-46.22239,2015,5,17,0.52
18.61261,-46.22239,2015,5,18,0.56
18.61261,-46.22239,2015,5,19,0.63
18.61261,-46.22239,2015,5,20,0.66
18.61261,-46.22239,2015,5,21,0.56
18.61261,-46.22239,2015,5,22,0.63
18.61261,-46.22239,2015,5,23,0.66
18.61261,-46.22239,2015,5,24,0.67
18.61261,-46.22239,2015,5,25,0.68
18.61261,-46.22239,2015,5,26,0.55
18.61261,-46.22239,2015,5,27,0.61
18.61261,-46.22239,2015,5,28,0.61
18.61261,-46.22239,2015,5,29,0.65
18.61261,-46.22239,2015,5,30,0.67
18.61261,-46.22239,2015,5,31,0.72
18.61261,-46.22239,2015,6,1,0.68
18.61261,-46.22239,2015,6,2,0.57
18.61261,-46.22239,2015,6,3,0.51
18.61261,-46.22239,2015,6,4,0.62
18.61261,-46.22239,2015,6,5,0.62
18.61261,-46.22239,2015,6,6,0.63
18.61261,-46.22239,2015,6,7,0.66
18.61261,-46.22239,2015,6,8,0.61
18.61261,-46.22239,2015,6,9,0.67
18.61261,-46.22239,2015,6,10,0.69
18.61261,-46.22239,2015,6,11,0.69
18.61261,-46.22239,2015,6,12,0.64
18.61261,-46.22239,2015,6,13,0.64
18.61261,-46.22239,2015,6,14,0.61
18.61261,-46.22239,2015,6,15,0.58
18.61261,-46.22239,2015,6,16,0.61
18.61261,-46.22239,2015,6,17,0.62
18.61261,-46.22239,2015,6,18,0.64
18.61261,-46.22239,2015,6,19,-999
18.61261,-46.22239,2015,6,20,0.62
18.61261,-46.22239,2015,6,21,0.59
18.61261,-46.22239,2015,6,22,0.61
18.61261,-46.22239,2015,6,23,0.59
18.61261,-46.22239,2015,6,24,0.56
18.61261,-46.22239,2015,6,25,0.61
18.61261,-46.22239,2015,6,26,0.64
18.61261,-46.22239,2015,6,27,0.66
18.61261,-46.22239,2015,6,28,0.65
18.61261,-46.22239,2015,6,29,0.64
18.61261,-46.22239,2015,6,30,0.68
18.61261,-46.22239,2015,7,1,0.61
